GeneNames,logFC,p_values
DNASE1L1,-0.5,0.0090478322911988
DDX11,0.7,3.5111432511368E-05
HEBP1,0.1,0.578026133423498
GPRC5A,0.5,0.131090435652861
MAMLD1,0.7,0.00511907686372773
CD6,-0.2,0.249830257497254
TACC3,0.2,0.36917114949445
UFL1,1.1,0.00372471457947296
POLA2,,
ZC3H3,-0.1,0.41861000737345
CAPN1,0.5,0.018201463334898
ACP3,0.2,0.144499545853744
MDH1,-1.1,5.68513130568962E-07
SLC30A9,-0.4,0.0860476116752261
MTMR11,1.8,3.70936414441202E-10
COX15,0.2,0.337295026817906
CCDC88C,-0.2,0.618696861052882
YAF2,0.4,0.0889259763737902
ZMYND11,-0.4,0.00414188201272099
WAS,0.6,5.67359388935232E-04
DPEP1,0.4,0.103328488754754
BID,-0.5,0.0304032001041919
NPC1L1,-0.2,0.488870805318122
XYLT2,-0.3,0.297129861453534
RGPD5,-0.9,0.0133371918862679
STMN4,-2.4,1.83313323338759E-10
NUDCD3,-1.0,3.65650277497545E-07
ISL1,,
CHDH,0.9,0.00132814466925401
IL20RA,-0.8,0.0314313786406897
CLCA1,,
CLCA4,-1.0,0.00157327204624753
GLT8D1,0.6,0.00147448578502213
ATP2C1,0.1,0.782876667254515
IGF1,-0.2,0.176749807552509
SLC38A5,1.1,2.03685356609564E-05
RALBP1,,
RUFY3,-0.2,0.350866824898107
CNTN1,-0.7,0.297287330008122
SLC11A1,0.8,0.0100055357228834
WWTR1,2.2,2.45083187782049E-08
AGPS,0.3,0.430458787259461
STEEP1,-0.2,0.405360330690314
ATP1A2,-0.7,0.0722890416997025
TTC27,0.6,0.00581429038623794
ZNF582,,
VSIG2,-0.4,0.0373766876582192
PHLDB1,0.9,1.18059052362319E-04
MARCO,-0.4,0.212904310696992
CYP24A1,-0.4,0.0200469460121019
PRDM11,-0.3,0.22411829233014
SYT13,-5.9,1.66470269271918E-17
SNAI2,1.2,0.00109540287523345
CD74,2.4,1.57286371238293E-06
HGF,0.3,0.0490967429191683
ZRANB1,-0.6,0.00827513123170221
NCDN,-1.9,2.48143125833448E-10
ADGRA2,0.9,0.00333833570481638
ZFP64,0.2,0.245900254721129
MNAT1,-0.1,0.814256241580941
SAMD4A,0.9,2.10310077889077E-04
RUNX3,0.7,0.00533457776155214
MRE11,0.5,0.00769019871364144
PLEKHB1,0.7,0.0603180378506721
SERPINB1,0.9,8.73156899484726E-04
CYP3A43,0.3,0.200238638790123
SLC7A9,,
SPAST,0.2,0.506058086635579
NRXN3,-1.6,1.12387239079494E-06
OSBPL5,-0.4,0.196866729962346
AQR,0.5,1.74393521768123E-04
CPS1,0.6,0.0453280696444067
C8B,,
FHL1,0.3,0.0317918326189904
RTF2,0.2,0.149966792797494
GABRA1,-4.9,6.31326600010714E-11
NLRP2,0.2,0.464185321852013
SLC45A4,-1.4,1.76343878548473E-07
RNF10,,
ZNF839,-0.5,0.00650412778429457
ZDHHC6,0.4,0.0184037060532809
GRAMD1B,-1.4,1.59766874338055E-06
RNH1,0.2,0.278663083571411
NDUFS1,-0.6,0.0112022914415683
RB1CC1,-0.6,0.087013654795425
ERP44,0.7,5.01740764928231E-05
ALAS1,-0.7,0.00568894210076893
BIRC3,0.5,0.00218284321979835
AKAP11,-0.7,0.00225458550469583
GLRX2,-0.5,0.047468310862297
SNAPC1,0.5,0.0990730822266766
DERA,1.0,1.48959661895177E-04
STRAP,-0.2,0.158284728106739
ABCC2,0.3,0.160435632023137
DEF6,,
PLEKHO1,,
GCLM,0.2,0.550598755332005
UBR2,0.1,0.555716635483861
EHD2,1.0,6.03809432463121E-06
DEPDC1,0.3,0.0998572124042522
CCDC28A,-1.0,9.92732187657101E-05
RRAGD,-0.6,0.0877709028317645
HSF2,0.2,0.653578807070599
PHF20,-0.3,0.342900320095159
HSD17B6,-2.3,1.10356440678632E-09
NR1H3,0.6,0.00126564392288656
TYMP,0.1,0.794337649088345
NCAPH2,-0.3,0.155654040464939
TOMM34,-0.2,0.273803458763367
SEC63,0.6,0.0101150305037725
KPNA6,-0.1,0.663111529236013
VIM,2.5,1.15490995818118E-09
FAS,2.1,7.38665214807208E-07
RNASET2,1.4,4.86803675784355E-07
CD44,2.9,8.85308594222752E-07
KCNG1,-2.1,3.27279447942602E-06
AGPAT4,-0.2,0.311570428281234
AGPAT4,-0.8,0.00134065338714066
SLAMF7,-0.1,0.561441227161855
BTN3A1,1.5,1.12598635074577E-07
MIPEP,0.5,0.0140705957842918
PRKCH,0.7,0.0212340263256163
INSRR,-0.1,0.348806017362983
IFNGR1,0.7,0.00261302504339392
B4GALT7,0.2,0.194374987906373
SH2D2A,0.3,0.321824378364638
VRK2,0.8,0.0233262612507387
TNFRSF1B,0.7,0.0581018885691914
VEZT,0.2,0.501854385984534
POU2F2,0.1,0.760887639074984
BRD9,,
SNX1,1.5,4.52641676786758E-08
TBPL1,-1.0,5.28843511180395E-04
ARNTL2,-0.2,0.425740211150917
BCLAF1,,
SLC39A9,0.2,0.135249024146266
ANK1,-1.5,9.1968641911517E-06
IBSP,-0.3,0.335744639838559
TFB1M,,
RABEP1,-0.2,0.240470805383059
HMGB3,-0.9,6.7765967395849E-04
NUP160,1.6,3.14803157872663E-06
BAK1,0.3,0.0491422437064388
MUSK,,
IKZF2,1.5,2.70180363858744E-05
GRN,1.1,8.50259107480573E-08
FAM13B,-0.1,0.700238260817965
ARHGAP31,1.4,3.63313665213669E-08
CENPQ,1.2,1.83193779460916E-04
SARS1,-0.3,0.124488174345872
RANBP3,-0.2,0.527750916218471
ARID4A,0.2,0.706369944511868
EIPR1,-0.4,0.0502014932182932
PNPLA6,0.1,0.618036659986037
IFT88,,
ALG1,0.7,2.35645166745423E-04
ZCCHC8,0.5,0.0966198912756051
ABCF2,0.4,0.00257797181394574
LRRC7,-3.9,5.93930121345642E-06
FUT8,-0.3,0.165080503331483
UBA6,0.3,0.331668476075095
GAB2,0.6,0.0150481552032481
ATP6V0A1,-1.0,8.71564492095368E-06
PIAS1,-0.6,0.0580077007785694
SLC4A7,1.1,1.79734871106914E-06
APBA2,-0.5,0.00576740043184836
MAP2K3,-0.2,0.479770208398536
EFCAB1,-0.4,0.0729258742341356
TMSB10,-0.2,0.461970938496357
ASTE1,0.8,0.00364486710544587
RNF19A,,0.829821794330706
PEX3,,0.16382163590634
GABARAPL2,,
MYOC,,0.16258818096864
SH3YL1,,0.0960530905699174
FAM136A,,0.48225798762009
VCL,,0.0180017173057606
DEPDC1B,,0.100167489815266
DAPK2,,0.582599046482589
NSMAF,,0.00499621274837022
ADSS2,,
STAP1,,0.551321945122962
TIMP2,,5.80240154773421E-06
RFC1,,
TBC1D23,,0.55900552927592
CUL3,,0.325969710679333
MYOM2,,1.35736246392402E-04
OTC,,0.293252768660523
CYP46A1,,9.17047332254264E-07
ZZZ3,,0.00583405029046366
SLC18A1,,0.0458335488700643
USP2,,0.119398023930739
CASR,,0.186808742084865
TUBG2,,7.07687216795465E-07
FLT4,,0.630514819759221
NSUN2,,0.10791948976895
FBXO42,,
MFAP3,,0.330722439048921
MRI1,,0.788790201656243
METTL1,,
HOXC8,,0.14330876954288
AGA,,3.86867286198724E-05
PI4K2B,,5.03654421335553E-09
BOD1L1,,0.120278463380163
MAT2B,,6.47798792416826E-04
TLL1,,0.799167579445181
TRIO,,0.0107184391192007
VCAN,,9.49989561734507E-12
CLEC16A,,0.0198325963976796
MSR1,,6.72302330396697E-05
CDH1,,1.04513872387076E-07
MTREX,,0.477866252593327
DNAH5,,0.331559297916143
ZFYVE16,,0.16518720115474
RIPOR1,,2.37050604242275E-05
C6,,0.652269034744739
RAI14,,0.00687097393462974
SOX30,,0.0646651040803782
PNKP,,
BEST2,,0.491231027296197
PHLPP2,,7.66233272389166E-07
SPDL1,,0.147953323827673
STAU2,,9.5878061183844E-05
SLC66A1,,0.00223323782614446
CTNS,,2.84224158187423E-04
RTN4R,,2.71100311976363E-11
PHF23,,0.0244376603780577
CDH10,,0.380400598868279
INPP4A,,1.05900257314276E-07
RAB27B,,0.00156856754934465
PSMA4,,0.416028353902512
MYO16,,0.0989136412849479
LSG1,,
PARP3,,0.0683027796367092
TNC,,2.40426979148061E-04
THAP3,,0.0654981903716283
RIPOR3,,1.20826425328194E-08
TDP1,,0.314100995657853
AIFM2,,
C2orf83,,0.346661857484642
SPATA7,,0.838788459800926
MED17,,4.34956219931854E-07
RETSAT,,0.0315893290549738
CAPG,,2.36943543310158E-05
AP2S1,,0.047626965413047
USH2A,,0.537992399880691
ZPBP,,0.146496485936813
TG,,0.796676967150409
ADAM28,,1.75433087420152E-08
BARX2,,0.35584051157561
DCUN1D1,,0.126769944207501
JADE2,,
ZIC2,,0.0252489322627247
LCP2,,0.00116470378242868
TRIT1,,0.422465283281419
ADRB1,,8.2688836845276E-05
GUCA2B,,0.139662402329871
CUL7,,0.697312545800799
CTNNA1,,1.12440071064588E-07
PHKA2,,0.65631538373711
CNTLN,,0.00175962229393719
EPHA3,,0.316465500603593
HSPA5,,0.00713658755034439
DSG2,,0.0164001058171327
GEMIN8,,0.839362336216368
OFD1,,0.0633512482157515
GPM6B,,0.592714431912757
MAGEC2,,0.147470955873805
PREX2,,0.00256666505394166
WDR37,,0.0567890117756178
YTHDC2,,0.651573071206803
CTPS2,,0.00318704572863072
ATP6V1H,,3.38561035451701E-05
POLR2B,,0.877001878452518
FAM214A,,0.728360536751886
ARAP2,,0.00679780913774754
TPR,,0.00810334355186399
CP,,1.16799345220554E-04
KATNIP,,0.388144209029853
DTNBP1,,0.0132317642158152
XK,,2.22842684528087E-07
ANO2,,0.0448012447692921
C12orf4,,0.369502000630362
SCML1,,0.204241923374239
WWC3,,
ARHGAP6,,4.71292478461447E-06
FAM184B,,0.100939383854531
MAP4,,0.637574545610734
GOPC,,0.0159862017352319
ROS1,,
USP28,,0.153437417470835
HDAC9,,0.00726591479091016
TSPAN17,,0.461602203032257
NOP16,,0.398269633680488
CC2D2A,,2.16835700990746E-10
RRM2B,,0.282236694877394
ZNF800,,0.119120656081174
TNFRSF17,,0.758354213349514
SNX29,,0.3683857553016
LMO3,,0.00123844778683314
MRPS10,,0.852947949865172
RSF1,,0.454950855350593
VPS13D,,0.00740761697667713
CELF2,,0.026357748432447
FAM120A,,0.0256308227559961
R3HDM1,,1.4215233754509E-04
COL9A2,,2.26639891624887E-05
KITLG,,0.0125207280956284
ERCC8,,2.80180390815636E-08
ADAMTS6,,1.12496644022786E-05
H6PD,,1.01614844455573E-08
VAMP3,,0.0014162590010438
PER3,,
UTS2,,0.305624297828846
TNFRSF9,,0.0992441818175633
LTBP1,,0.652488052350504
RCN1,,3.13710842940032E-04
ELN,,0.00800638910139846
RFC2,,0.103690381179425
ARID1B,,0.735814848956629
CLPTM1L,,0.0015924481874488
NEDD4L,,1.77546939171864E-11
FOXP3,,5.6223362681896E-04
PPP1R3F,,1.79880110517647E-10
HEXB,,9.90508143731638E-05
PTCD2,,
NEXMIF,,0.00327294579171139
JKAMP,,0.0929865461112816
DKK 3.00,,0.291500105877831
ARHGEF5,,8.68206957062432E-05
NFE2L3,,0.0858622758279421
MCUR1,,0.780865539432917
LIMA1,,1.61167998059537E-06
LETMD1,,7.76105173855386E-05
SLC4A8,,3.20176465559995E-04
LAMC3,,0.142447220974428
PTGER3,,0.187798835551828
MAPK9,,2.48875941651489E-06
COL23A1,,2.16640440337966E-06
BCAR1,,0.277649159294124
FAM160A2,,0.00720519425123715
HERPUD1,,
HOMER3,,0.297360988194974
RAD51,,0.00237677716796687
POLQ,,0.202678838067385
PIK3CB,,2.13028142041125E-06
CYBA,,1.84549221809823E-06
HEBP2,,0.00299855152565518
MPHOSPH9,,0.414817501486798
PLEKHA5,,0.100532716935503
PRSS8,,0.353973075849018
SIKE1,,0.0662171222102848
RRP12,,
FNIP2,,0.0298461392911168
MSMO1,,0.00999386162398395
TTC17,,0.226865025421858
ALX4,,0.00762701130663249
FSTL4,,0.0619909364017642
FOXN3,,0.864919915040932
AKR7A2,,0.269944414510251
MRTO4,,0.686825063395278
NNAT,,9.47159616485E-06
USE1,,0.218067630841399
MCF2L2,,
NRIP2,,0.0038253966676082
LAMA3,,0.0931108715074721
AP5M1,,
ANAPC4,,0.724999627109921
KCNQ1,,
TRAPPC3,,
THRAP3,,0.0878976718510658
ENTPD2,,
LY75,,7.95591545202939E-07
ARID4B,,
OPN3,,3.8725260887173E-04
SDCCAG8,,0.0968866636682216
PTPRN,,9.48268114875263E-07
HHAT,,0.576361424835443
KIF1B,,1.1169586453442E-08
FOXC1,,0.25367171712239
TBC1D22A,,0.0131632150908658
SYNE2,,0.0230986056511511
PLEKHH1,,0.234578070452051
ATP9A,,4.20656374693888E-05
SPO11,,
CBLN4,,0.0143413465429602
CHRDL2,,0.159330662859662
FAM168A,,
RELT,,0.605933953792354
GALC,,0.00134133081223777
NOP58,,0.578649723686875
SZRD1,,0.00253908889427292
KCNH2,,0.76215922565135
